filename: p253_207.txt
x_pixel:      253
y_pixel:      207
diff2_ts/diff2_ts.tab
slope (units per day):   -9.9813e-05
intercept (dt=0.0):      -1.4055e-05
std. deviation:           2.8494e-03
index      time ISO8601         JD 1-Jan-1970      JD start       data       linear model
******************************************************************************************
   0  2019-11-23T12:03:12.831   18223.502232       0.000000   -4.41380e-15   -1.40549e-05
   1  2019-12-05T12:03:12.260   18235.502225      11.999993   -9.26728e-04   -1.21181e-03
   2  2019-12-17T12:03:11.881   18247.502221      23.999989   -3.45916e-03   -2.40957e-03
   3  2019-12-29T12:03:11.381   18259.502215      35.999983   -6.43213e-03   -3.60733e-03
   4  2020-01-10T12:03:10.929   18271.502210      47.999978   -4.95942e-03   -4.80509e-03
   5  2020-01-22T12:03:10.510   18283.502205      59.999973   -4.25242e-03   -6.00285e-03
   6  2020-02-03T12:03:10.136   18295.502201      71.999969   -4.08153e-03   -7.20061e-03
   7  2020-02-15T12:03:09.790   18307.502197      83.999965   -5.76559e-03   -8.39836e-03
   8  2020-02-27T12:03:09.526   18319.502194      95.999962   -5.94587e-03   -9.59612e-03
   9  2020-03-10T12:03:09.782   18331.502197     107.999965   -1.36953e-02   -1.07939e-02
  10  2020-03-22T12:03:09.959   18343.502199     119.999967   -9.51890e-03   -1.19916e-02
  11  2020-04-03T12:03:10.197   18355.502201     131.999970   -1.41185e-02   -1.31894e-02
  12  2020-04-15T12:03:10.605   18367.502206     143.999974   -1.77770e-02   -1.43872e-02
  13  2020-04-27T12:03:11.121   18379.502212     155.999980   -1.73077e-02   -1.55849e-02
  14  2020-05-09T12:03:11.621   18391.502218     167.999986   -1.90152e-02   -1.67827e-02
  15  2020-05-21T12:03:12.407   18403.502227     179.999995   -1.69980e-02   -1.79804e-02
  16  2020-06-02T12:03:13.070   18415.502235     192.000003   -2.24599e-02   -1.91782e-02
  17  2020-06-14T12:03:13.912   18427.502244     204.000013   -2.45285e-02   -2.03760e-02
  18  2020-06-26T12:03:14.535   18439.502252     216.000020   -1.95874e-02   -2.15737e-02
  19  2020-07-08T12:03:15.177   18451.502259     228.000027   -2.59750e-02   -2.27715e-02
  20  2020-07-20T12:03:16.007   18463.502269     240.000037   -2.92036e-02   -2.39692e-02
  21  2020-08-01T12:03:16.773   18475.502277     252.000046   -2.09908e-02   -2.51670e-02
  22  2020-08-13T12:03:17.395   18487.502285     264.000053   -1.93442e-02   -2.63648e-02
  23  2020-08-25T12:03:18.160   18499.502294     276.000062   -2.93581e-02   -2.75625e-02
  24  2020-09-06T12:03:18.632   18511.502299     288.000067   -2.72427e-02   -2.87603e-02
  25  2020-09-18T12:03:19.036   18523.502304     300.000072   -3.28150e-02   -2.99580e-02
  26  2020-09-30T12:03:19.321   18535.502307     312.000075   -2.86037e-02   -3.11558e-02
  27  2020-10-12T12:03:19.672   18547.502311     324.000079   -2.91056e-02   -3.23536e-02
  28  2020-10-24T12:03:19.572   18559.502310     336.000078   -2.85542e-02   -3.35513e-02
  29  2020-11-05T12:03:19.437   18571.502308     348.000076   -3.15190e-02   -3.47491e-02
  30  2020-11-17T12:03:19.242   18583.502306     360.000074   -3.27615e-02   -3.59468e-02
  31  2020-11-29T12:03:18.770   18595.502301     372.000069   -3.87441e-02   -3.71446e-02
  32  2020-12-11T12:03:18.418   18607.502297     384.000065   -4.09454e-02   -3.83423e-02
  33  2020-12-23T12:03:17.757   18619.502289     396.000057   -4.10181e-02   -3.95401e-02
  34  2021-01-04T12:03:17.175   18631.502282     408.000050   -3.98088e-02   -4.07379e-02
  35  2021-01-16T12:03:16.658   18643.502276     420.000044   -4.09184e-02   -4.19356e-02
  36  2021-01-28T12:03:16.323   18655.502272     432.000040   -4.67569e-02   -4.31334e-02
  37  2021-02-09T12:03:15.955   18667.502268     444.000036   -4.55530e-02   -4.43311e-02
  38  2021-02-21T12:03:15.614   18679.502264     456.000032   -4.89055e-02   -4.55289e-02
  39  2021-03-05T12:03:15.509   18691.502263     468.000031   -5.08782e-02   -4.67267e-02
  40  2021-03-17T12:03:15.503   18703.502263     480.000031   -4.83004e-02   -4.79244e-02
  41  2021-03-29T12:03:15.887   18715.502267     492.000035   -4.71515e-02   -4.91222e-02
  42  2021-04-10T12:03:16.357   18727.502273     504.000041   -4.86014e-02   -5.03199e-02
  43  2021-04-22T12:03:16.898   18739.502279     516.000047   -4.98137e-02   -5.15177e-02
